title,price,rating
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1361.0,Five
Princess Between Worlds (Wide-Awake Princess #5),1334.0,Five
"Pop Gun War, Volume 1: Gift",1897.0,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628.0,Two
Patience,1016.0,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1544.0,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),4841.0,One
Online Marketing for Busy Authors: A Step-By-Step Guide,4635.0,One
On a Midnight Clear,1407.0,Three
Obsidian (Lux #1),1486.0,Two
My Paris Kitchen: Recipes and Stories,3337.0,Two
Masks and Shadows,5640.0,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402.0,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4691.0,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4561.0,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),1992.0,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",4011.0,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5390.0,Two
Join,3567.0,Five
In the Country We Love: My Family Divided,2200.0,Four
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1361.0,Five
Princess Between Worlds (Wide-Awake Princess #5),1334.0,Five
"Pop Gun War, Volume 1: Gift",1897.0,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628.0,Two
Patience,1016.0,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1544.0,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),4841.0,One
Online Marketing for Busy Authors: A Step-By-Step Guide,4635.0,One
On a Midnight Clear,1407.0,Three
Obsidian (Lux #1),1486.0,Two
My Paris Kitchen: Recipes and Stories,3337.0,Two
Masks and Shadows,5640.0,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402.0,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4691.0,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4561.0,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),1992.0,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",4011.0,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5390.0,Two
Join,3567.0,Five
In the Country We Love: My Family Divided,2200.0,Four
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1361.0,Five
Princess Between Worlds (Wide-Awake Princess #5),1334.0,Five
"Pop Gun War, Volume 1: Gift",1897.0,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628.0,Two
Patience,1016.0,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1544.0,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),4841.0,One
Online Marketing for Busy Authors: A Step-By-Step Guide,4635.0,One
On a Midnight Clear,1407.0,Three
Obsidian (Lux #1),1486.0,Two
My Paris Kitchen: Recipes and Stories,3337.0,Two
Masks and Shadows,5640.0,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402.0,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4691.0,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4561.0,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),1992.0,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",4011.0,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5390.0,Two
Join,3567.0,Five
In the Country We Love: My Family Divided,2200.0,Four
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1361.0,Five
Princess Between Worlds (Wide-Awake Princess #5),1334.0,Five
"Pop Gun War, Volume 1: Gift",1897.0,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628.0,Two
Patience,1016.0,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1544.0,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),4841.0,One
Online Marketing for Busy Authors: A Step-By-Step Guide,4635.0,One
On a Midnight Clear,1407.0,Three
Obsidian (Lux #1),1486.0,Two
My Paris Kitchen: Recipes and Stories,3337.0,Two
Masks and Shadows,5640.0,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402.0,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4691.0,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4561.0,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),1992.0,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",4011.0,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5390.0,Two
Join,3567.0,Five
In the Country We Love: My Family Divided,2200.0,Four
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1361.0,Five
Princess Between Worlds (Wide-Awake Princess #5),1334.0,Five
"Pop Gun War, Volume 1: Gift",1897.0,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628.0,Two
Patience,1016.0,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1544.0,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),4841.0,One
Online Marketing for Busy Authors: A Step-By-Step Guide,4635.0,One
On a Midnight Clear,1407.0,Three
Obsidian (Lux #1),1486.0,Two
My Paris Kitchen: Recipes and Stories,3337.0,Two
Masks and Shadows,5640.0,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402.0,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4691.0,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4561.0,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),1992.0,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",4011.0,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5390.0,Two
Join,3567.0,Five
In the Country We Love: My Family Divided,2200.0,Four
